visit_id,table_id,start_time,end_time,group_size,fully_captured,visit_time
2,14,2021-08-18 17:12:11,2021-08-18 17:37:41,3.0,False,
3,15,2021-08-18 17:12:11,2021-08-18 17:29:20,3.0,False,
7,16,2021-08-18 17:28:04,2021-08-18 17:33:43,2.0,False,
5,54,2021-08-18 17:25:32,2021-08-18 18:32:51,2.0,True,4039.0
0,56,2021-08-18 17:12:06,2021-08-18 18:38:45,3.0,False,
13,B2,2021-08-18 18:02:13,2021-08-18 18:52:38,1.0,True,3025.0
20,20,2021-08-18 18:28:32,2021-08-18 19:20:30,1.0,True,3118.0
15,12,2021-08-18 18:09:46,2021-08-18 19:41:48,2.0,True,5522.0
17,B3,2021-08-18 18:11:44,2021-08-18 20:01:30,2.0,True,6586.0
11,15,2021-08-18 17:43:09,2021-08-18 20:09:56,4.0,True,8807.0
6,11,2021-08-18 17:26:31,2021-08-18 20:20:13,2.0,True,10422.0
16,33,2021-08-18 18:11:12,2021-08-18 20:13:42,2.0,True,7350.0
10,B1,2021-08-18 17:35:27,2021-08-18 20:28:02,2.0,True,10355.0
25,54,2021-08-18 19:19:40,2021-08-18 20:36:51,2.0,True,4631.0
9,31,2021-08-18 17:34:49,2021-08-18 21:11:43,2.0,True,13014.0
23,B2,2021-08-18 18:54:48,2021-08-18 21:26:49,2.0,True,9121.0
22,36,2021-08-18 18:30:09,2021-08-18 21:33:23,2.0,True,10994.0
18,52,2021-08-18 18:14:06,2021-08-18 21:36:14,4.0,True,12128.0
27,56,2021-08-18 19:25:55,2021-08-18 21:36:27,2.0,True,7832.0
12,17,2021-08-18 17:58:31,2021-08-18 21:42:04,5.0,True,13413.0
1,13,2021-08-18 17:12:07,,2.0,False,
4,35,2021-08-18 17:20:42,,2.0,True,
8,23,2021-08-18 17:33:44,,2.0,False,
14,14,2021-08-18 18:06:21,,3.0,True,
19,55,2021-08-18 18:27:04,,4.0,True,
21,53,2021-08-18 18:38:52,,5.0,True,
24,51,2021-08-18 18:56:56,,4.0,True,
26,16,2021-08-18 19:20:09,,2.0,True,
28,20,2021-08-18 19:29:50,,12.0,True,
29,B3,2021-08-18 20:10:07,,2.0,True,
30,33,2021-08-18 20:54:24,,2.0,True,
31,54,2021-08-18 21:04:01,,2.0,True,
32,15,2021-08-18 21:11:37,,2.0,True,
