guest_or_staff,start_time,end_time,visit_time
G,2021-08-18 17:19:14,2021-08-18 17:21:22,128.0
G,2021-08-18 17:20:21,2021-08-18 17:22:52,151.0
G,2021-08-18 17:20:28,2021-08-18 17:22:06,98.0
G,2021-08-18 17:23:24,2021-08-18 17:25:04,100.0
G,2021-08-18 17:26:27,2021-08-18 17:27:40,73.0
S,2021-08-18 17:27:10,2021-08-18 17:29:53,163.0
G,2021-08-18 17:28:50,2021-08-18 17:30:33,103.0
G,2021-08-18 17:28:57,2021-08-18 17:30:47,110.0
S,2021-08-18 17:30:13,2021-08-18 17:32:37,144.0
S,2021-08-18 17:33:07,2021-08-18 17:33:26,19.0
G,2021-08-18 17:37:56,2021-08-18 17:40:20,144.0
S,2021-08-18 17:38:00,2021-08-18 17:41:57,237.0
G,2021-08-18 17:43:33,2021-08-18 17:45:43,130.0
G,2021-08-18 17:43:56,2021-08-18 17:45:10,74.0
G,2021-08-18 17:48:00,2021-08-18 17:49:58,118.0
G,2021-08-18 17:49:43,2021-08-18 17:50:23,40.0
G,,2021-08-18 17:54:17,
G,2021-08-18 17:57:38,2021-08-18 17:59:24,106.0
G,2021-08-18 17:57:48,2021-08-18 17:58:06,18.0
G,2021-08-18 18:03:34,2021-08-18 18:04:03,29.0
G,2021-08-18 18:04:13,2021-08-18 18:04:51,38.0
G,2021-08-18 18:05:37,2021-08-18 18:07:01,84.0
G,2021-08-18 18:11:52,2021-08-18 18:13:43,111.0
G,2021-08-18 18:17:38,2021-08-18 18:20:03,145.0
G,2021-08-18 18:17:40,2021-08-18 18:20:01,141.0
G,2021-08-18 18:19:24,2021-08-18 18:21:13,109.0
G,2021-08-18 18:23:30,2021-08-18 18:25:55,145.0
G,2021-08-18 18:24:51,2021-08-18 18:27:01,130.0
G,2021-08-18 18:28:10,2021-08-18 18:30:49,159.0
G,2021-08-18 18:29:16,2021-08-18 18:31:27,131.0
G,2021-08-18 18:30:16,2021-08-18 18:32:30,134.0
G,2021-08-18 18:32:21,2021-08-18 18:34:56,155.0
G,2021-08-18 18:33:26,2021-08-18 18:35:02,96.0
G,2021-08-18 18:35:21,2021-08-18 18:38:30,189.0
G,2021-08-18 18:35:24,2021-08-18 18:38:31,187.0
G,2021-08-18 18:43:26,2021-08-18 18:45:02,96.0
G,2021-08-18 18:44:26,2021-08-18 18:45:01,35.0
G,2021-08-18 18:44:27,2021-08-18 18:45:06,39.0
G,2021-08-18 18:44:40,2021-08-18 18:45:43,63.0
G,2021-08-18 18:45:08,2021-08-18 18:47:28,140.0
G,2021-08-18 18:45:59,2021-08-18 18:48:49,170.0
G,2021-08-18 18:48:08,2021-08-18 18:50:16,128.0
S,2021-08-18 18:50:25,2021-08-18 18:51:48,83.0
G,2021-08-18 18:51:38,2021-08-18 18:53:29,111.0
G,2021-08-18 18:52:50,2021-08-18 18:54:27,97.0
G,2021-08-18 18:54:34,2021-08-18 18:58:42,248.0
G,2021-08-18 18:54:35,2021-08-18 18:56:26,111.0
G,2021-08-18 20:05:19,2021-08-18 20:07:20,121.0
G,2021-08-18 20:05:41,2021-08-18 20:07:09,88.0
G,2021-08-18 20:06:29,2021-08-18 20:07:59,90.0
G,2021-08-18 20:07:50,2021-08-18 20:09:08,78.0
G,2021-08-18 20:09:41,2021-08-18 20:11:22,101.0
G,2021-08-18 20:10:26,2021-08-18 20:12:45,139.0
G,2021-08-18 20:13:20,2021-08-18 20:14:26,66.0
G,2021-08-18 20:13:56,2021-08-18 20:16:31,155.0
G,2021-08-18 20:15:02,2021-08-18 20:17:07,125.0
G,2021-08-18 20:15:24,2021-08-18 20:17:58,154.0
G,2021-08-18 20:19:07,2021-08-18 20:20:52,105.0
G,2021-08-18 20:23:02,2021-08-18 20:25:33,151.0
G,2021-08-18 20:25:43,2021-08-18 20:27:48,125.0
G,2021-08-18 20:26:17,2021-08-18 20:28:45,148.0
G,2021-08-18 20:26:26,2021-08-18 20:27:40,74.0
G,2021-08-18 20:28:30,2021-08-18 20:29:37,67.0
G,2021-08-18 20:29:35,2021-08-18 20:31:38,123.0
G,2021-08-18 20:32:24,2021-08-18 20:34:36,132.0
G,2021-08-18 20:32:36,2021-08-18 20:33:47,71.0
G,2021-08-18 20:33:32,2021-08-18 20:38:59,327.0
G,2021-08-18 20:33:33,2021-08-18 20:40:51,438.0
G,2021-08-18 20:39:01,2021-08-18 20:40:39,98.0
G,2021-08-18 20:43:18,2021-08-18 20:45:45,147.0
G,2021-08-18 20:44:48,2021-08-18 20:46:25,97.0
G,2021-08-18 20:48:08,2021-08-18 20:50:00,112.0
G,2021-08-18 20:49:30,2021-08-18 20:51:13,103.0
G,2021-08-18 20:51:41,2021-08-18 20:52:12,31.0
G,2021-08-18 20:52:15,2021-08-18 20:54:57,162.0
G,2021-08-18 20:53:29,2021-08-18 20:55:13,104.0
G,2021-08-18 20:53:40,2021-08-18 20:54:58,78.0
G,2021-08-18 20:54:48,,
G,2021-08-18 20:55:48,2021-08-18 20:58:22,154.0
G,2021-08-18 20:54:00,2021-08-18 20:55:58,118.0
G,2021-08-18 20:56:18,2021-08-18 20:59:26,188.0
G,2021-08-18 20:57:36,2021-08-18 21:00:04,148.0
G,2021-08-18 20:57:43,2021-08-18 20:59:33,110.0
G,2021-08-18 20:58:38,2021-08-18 21:00:54,136.0
G,2021-08-18 20:59:39,2021-08-18 21:03:44,245.0
G,2021-08-18 20:59:40,2021-08-18 21:03:56,256.0
G,2021-08-18 20:59:48,2021-08-18 21:05:59,371.0
G,2021-08-18 21:01:12,2021-08-18 21:02:50,98.0
G,2021-08-18 21:01:13,2021-08-18 21:03:24,131.0
G,2021-08-18 21:01:21,2021-08-18 21:04:39,198.0
G,2021-08-18 21:01:51,2021-08-18 21:06:33,282.0
G,2021-08-18 21:03:13,2021-08-18 21:06:55,222.0
G,2021-08-18 21:04:10,2021-08-18 21:05:35,85.0
G,2021-08-18 21:04:27,2021-08-18 21:07:39,192.0
G,2021-08-18 21:07:02,2021-08-18 21:08:43,101.0
G,2021-08-18 21:07:28,2021-08-18 21:09:33,125.0
G,2021-08-18 21:08:15,2021-08-18 21:11:13,178.0
G,2021-08-18 21:08:17,2021-08-18 21:12:13,236.0
G,2021-08-18 21:10:16,2021-08-18 21:12:14,118.0
G,2021-08-18 21:12:26,2021-08-18 21:13:44,78.0
G,2021-08-18 21:14:14,2021-08-18 21:17:13,179.0
G,2021-08-18 21:18:19,2021-08-18 21:20:49,150.0
S,2021-08-18 21:18:38,2021-08-18 21:19:43,65.0
S,2021-08-18 21:19:48,2021-08-18 21:26:11,383.0
G,2021-08-18 21:23:58,2021-08-18 21:25:20,82.0
G,2021-08-18 21:26:14,2021-08-18 21:27:52,98.0
G,2021-08-18 21:29:46,2021-08-18 21:31:35,109.0
G,2021-08-18 21:32:43,2021-08-18 21:33:49,66.0
G,2021-08-18 21:33:11,2021-08-18 21:34:50,99.0
G,2021-08-18 21:37:35,2021-08-18 21:41:44,249.0
G,2021-08-18 21:37:43,2021-08-18 21:40:33,170.0
G,2021-08-18 21:41:54,2021-08-18 21:42:41,47.0
G,2021-08-18 21:48:39,2021-08-18 21:50:04,85.0
G,2021-08-18 21:50:22,2021-08-18 21:52:45,143.0
G,2021-08-18 21:51:33,2021-08-18 21:53:36,123.0
G,2021-08-18 21:55:42,2021-08-18 21:58:02,140.0
